interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race,household_income,education,state,congress_district,age,vote_trump,vote_biden,education_level,income_level
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,"$75,000 to $79,999",Associate Degree,wisconsin,WI04,49,1,0,6,13
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",virginia,VA08,39,0,0,7,18
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",virginia,VA09,46,1,0,7,21
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,unemployed,The United States,Female,South,Not Hispanic,white,"$65,000 to $69,999",High school graduate,texas,TX10,75,1,0,3,11
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,West,Not Hispanic,white,"Less than $14,999",High school graduate,washington,WA05,52,1,0,3,0
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Liberal,unemployed,The United States,Female,Midwest,Not Hispanic,white,"Less than $14,999",Other post high school vocational training,ohio,OH04,44,0,0,4,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$80,000 to $84,999","Completed some college, but no degree",massachusetts,MA05,21,0,1,5,14
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,unemployed,The United States,Female,South,Not Hispanic,black/african american/negro,"Less than $14,999","Completed some college, but no degree",texas,TX36,38,0,1,5,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,West,Not Hispanic,white,"$40,000 to $44,999","Completed some college, but no degree",california,CA16,69,1,0,5,6
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",north carolina,NC07,59,1,0,7,18
Only now and then,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,"$100,000 to $124,999",Masters degree,ohio,OH16,51,0,0,9,18
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,employed,The United States,Female,South,Not Hispanic,white,"$20,000 to $24,999","Completed some graduate, but no degree",maryland,MD01,74,1,0,8,2
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,South,Not Hispanic,white,"$60,000 to $64,999","Completed some college, but no degree",florida,FL18,55,0,1,5,10
